hip_sagittal_l_raw,hip_sagittal_r_raw,d_hip_sagittal_l_raw,d_hip_sagittal_r_raw,torque_l_mea,torque_r_mea,pelvis_euler_x,pelvis_euler_y,pelvis_euler_z,pelvis_gyro_x,pelvis_gyro_y,pelvis_gyro_z,pelvis_accel_x,pelvis_accel_y,pelvis_accel_z,batt,cpu,mem,button_l,button_r,time,d_hip_sagittal_l_filt,d_hip_sagittal_r_filt,hip_sagittal_l,hip_sagittal_r,torque_l_cmd,torque_r_cmd,stance_l,stance_r,mode_n,mode_l,mode_r,gp_l,gp_r,l_est_trq,r_est_trq,thigh_l_accel_x,thigh_l_accel_y,thigh_l_accel_z,thigh_l_gyro_x,thigh_l_gyro_y,thigh_l_gyro_z,thigh_r_accel_x,thigh_r_accel_y,thigh_r_accel_z,thigh_r_gyro_x,thigh_r_gyro_y,thigh_r_gyro_z,sync,imu_time,trq_r,trq_l,exo_time
-0.3601239622,0.1104533598,0.3607021272,-2.939097404,0,-0,1.638524952,-0.08277500033,-0.5412750053,0.2905000067,-0.3325,0.029575001,-4.253199857,-10.13320038,2.695000058,23.27298546,0,0.9375,0,0,27.281,0.4591720333,-1.294202813,-0.3593569249,0.1338479947,2.873194091,-2.869864187,1,0,0,0,0,0,0,0.39564,-0.33946,-1.04853632437834,-5.740018933176,-9.61300098243154,-1.87403242571985,1.03796401505897,-0.442111141728502,-13.6673629579057,3.90394353172587,-2.16097691492294,0.247097529760067,-2.9964774737235,-1.78911479138001,0,27.19207388,0.348480910000005,-0.412669360000009,27.281
-0.3578228652,0.09319502115,0.3962624669,-3.06949234,0,-0,1.638524952,-0.08277500033,-0.5412750053,0.2905000067,-0.3325,0.029575001,-4.253199857,-10.13320038,2.695000058,23.27298546,197.5341418,0.9375,0,0,27.286,0.4455832993,-1.474265948,-0.357055828,0.1165896561,2.829484368,-2.735624905,1,0,0,0,0,0,0,0.33596,-0.30622,-2.83156229965839,-9.63206230283762,-7.99124116798479,-1.41965164290545,1.01376748793327,-0.237286592230989,-16.1144105021042,4.41696135800667,-3.477460088742,0.359543640873227,-3.14049841503299,-1.60902448183164,0,27.19719563,0.34397118,-0.404155345,27.286
-0.3562887907,0.07593668252,0.3827231824,-3.161096334,0,-0,1.639050064,-0.085224998,-0.5438999987,0.1891750073,-0.1798999953,0.1118249977,-3.096800143,-11.89719987,2.204999942,23.27298546,0,0.9375,0,0,27.291,0.4340714812,-1.650682783,-0.3555217535,0.09933131747,2.829484368,-2.735624905,1,0,0,0,0,0,0,0.33596,-0.30622,-4.61458827493632,-13.5241056724976,-6.36948135354022,-0.965270860090913,0.98957096080738,-0.032462042733352,-18.5614580463035,4.92997918428619,-4.79394326255942,0.471989751986253,-3.28451935634239,-1.42893417228337,0,27.20231738,0.33946145,-0.39564133,27.291
-0.3528371155,0.05867834762,0.4635151923,-3.2314713,0,-0,1.639050064,-0.085224998,-0.5438999987,0.1891750073,-0.1798999953,0.1118249977,-3.096800143,-11.89719987,2.204999942,23.27298546,0,0.9375,0,0,27.296,0.4255361303,-1.821663839,-0.3520700783,0.08207298256,2.699208612,-2.579441911,1,0,0,0,0,0,0,0.33547,-0.27576,-7.90816799729091,-15.6710257918506,-6.39884293701124,-0.325871332556547,1.02795468192257,0.0760557586600497,-18.1178890125457,4.64489313005091,-6.60381974734941,0.474980956431138,-3.28113757129868,-1.26835760024948,0,27.20717855,0.322839145000006,-0.365799145000011,27.296
-0.3463172913,0.03911889717,0.6844031215,-3.400598764,0,-0,1.640625,-0.086274997,-0.5454750013,0.03762500167,-0.09659999967,0.1951249933,-3.145800096,-12.89679985,0.6272000298,23.27298546,0,0.9375,0,0,27.301,0.4230789444,-1.98717874,-0.345550254,0.06251353212,2.699208612,-2.579441911,1,0,0,0,0,0,0,0.33547,-0.27576,-11.2017477196455,-17.8179459112035,-6.42820452048226,0.313528194977818,1.06633840303776,0.184573560053451,-17.6743199787878,4.35980707581564,-8.4136962321394,0.477972160876022,-3.27775578625497,-1.10778102821559,0,27.21203972,0.306216840000012,-0.335956960000021,27.301
-0.3382634223,0.02071000449,0.9291949868,-3.467087746,0,-0,1.640625,-0.086274997,-0.5454750013,0.03762500167,-0.09659999967,0.1951249933,-3.145800096,-12.89679985,0.6272000298,23.27298546,0,0.9375,0,0,27.306,0.4305684219,-2.146649028,-0.337496385,0.04410463944,2.599279677,-2.411080145,1,0,0,0,0,0,0,0.33403,-0.24226,-10.7269563285918,-16.0954260912472,-7.67166712971443,0.600787045208634,1.03818963862525,-0.00800548679545939,-18.1414571670426,3.72294608798404,-8.50631151393654,0.467737228127751,-3.34141961294228,-0.935997301630956,0,27.21719361,0.29098608,-0.33571297,27.306
-0.3282919228,0.001150555792,1.212725401,-3.579385757,0,-0,1.642374973,-0.08592499733,-0.546524992,-0.110600003,-0.0486499995,0.16625,-2.949799991,-13.32800014,0.303799995,23.27298546,201.7807148,0.9375,0,0,27.311,0.4520467351,-2.300046532,-0.3275248856,0.02454519074,2.599279677,-2.411080145,1,0,0,0,0,0,0,0.33403,-0.24226,-10.2521649375359,-14.3729062712894,-8.91512973894658,0.888045895438995,1.01004087421271,-0.200584533644447,-18.6085943552976,3.08608510015264,-8.5989267957324,0.457502295379478,-3.40508343962958,-0.764213575046438,0,27.2223475,0.27575532,-0.33546898,27.311
-0.3194710016,-0.01802537404,1.361122608,-3.641665459,0,-0,1.642374973,-0.08592499733,-0.546524992,-0.110600003,-0.0486499995,0.16625,-2.949799991,-13.32800014,0.303799995,23.27298546,0,0.9375,0,0,27.316,0.4890127502,-2.446989233,-0.3187039644,0.005369260907,2.520898628,-2.22850924,1,0,0,0,0,0,0,0.37092,-0.21437,-8.96381211871974,-7.99416302099484,-8.88606732816262,0.792455334613365,1.14962779463491,-0.392272512803831,-18.0553012954009,1.37216499489454,-9.45736854619205,0.4599135302868,-3.4186252981412,-0.62359220093305,0,27.22744128,0.259007755000006,-0.334749565,27.316
-0.3083489537,-0.03796834126,1.584743142,-3.736502171,0,-0,1.643950043,-0.084350003,-0.547050004,-0.1448999953,0.01014999971,0.124599998,-1.881600016,-14.09239964,-0.6566000164,23.27298546,0,0.9375,0,0,27.321,0.5424447957,-2.587527228,-0.3075819165,-0.01457370631,2.520898628,-2.22850924,1,0,0,0,0,0,0,0.37092,-0.21437,-7.67545929990269,-1.61541977069579,-8.85700491737865,0.696864773787666,1.28921471505721,-0.58396049196335,-17.5020082355038,-0.341755110364767,-10.3158102966523,0.462324765194123,-3.43216715665282,-0.482970826819563,0,27.23253506,0.24226019,-0.33403015,27.321
-0.2991445065,-0.05714427307,1.651728749,-3.772827864,0,-0,1.645175037,-0.08277500033,-0.547225008,-0.1063999987,0.05284999967,0.09904999733,-1.342599946,-13.42600005,-1.499399972,23.27298546,0,0.9375,0,0,27.329,0.6105859885,-2.721181925,-0.2983774692,-0.03374963813,2.521223118,-2.044245548,1,0,0,0,0,0,0,0.33278,-0.21597,-8.88680874700101,2.98825413838533,-4.89289278300236,0.325940376726994,1.61661955339712,-0.719606686655737,-18.4356048380903,-0.405438302845126,-5.81548397013528,0.407334234164176,-3.50076368933031,-0.373153341881167,0,27.240339428,0.219944757999998,-0.363538190000003,27.329
-0.281119138,-0.08399057388,1.891595483,-3.602756977,0,-0,1.645175037,-0.08277500033,-0.547225008,-0.1063999987,0.05284999967,0.09904999733,-1.342599946,-13.42600005,-1.499399972,23.27298546,0,0.9375,0,0,27.331,0.6928883872,-2.844585069,-0.2803521008,-0.06059593894,2.521223118,-2.044245548,1,0,0,0,0,0,0,0.33278,-0.21597,-9.18964610877545,4.1391726156551,-3.90186474940873,0.233209277461867,1.69847076298207,-0.753518235328818,-18.6690039887368,-0.421359100965208,-4.69040238850653,0.393586601406696,-3.51791282249967,-0.34569897064658,0,27.24229052,0.2143659,-0.3709152,27.331
-0.278434515,-0.09166094661,1.831922054,-3.626745224,0,-0,1.645175037,-0.08277500033,-0.547225008,-0.1063999987,0.05284999967,0.09904999733,-1.342599946,-13.42600005,-1.499399972,23.27298546,0,0.9375,0,0,27.336,0.7851299913,-2.956371857,-0.2776674778,-0.06826631166,2.459470067,-1.906632365,1,0,0,0,0,0,0,0.36201,-0.21121,-8.21280844168442,4.87362854534789,-3.82679766008053,0.0258792917171058,1.8739634677096,-0.649173216824658,-16.4884462473804,-1.41357940133281,-6.10301494037098,0.474567822485191,-3.45875939648478,-0.289990776794388,0,27.247372505,0.21516946,-0.351847915000007,27.336
-0.2699970901,-0.1096863225,1.796143889,-3.623659611,0,-0,1.646224995,-0.081899997,-0.547225008,-0.06912500083,0.0442749995,0.08400000334,-1.028999968,-12.23040025,-2.185400048,23.27298546,215.7070543,0.9375,0,0,27.341,0.8822691127,-3.056045754,-0.2692300529,-0.08629168756,2.459470067,-1.906632365,1,0,0,0,0,0,0,0.36201,-0.21121,-7.2359707745927,5.60808447504121,-3.75173057075227,-0.181450694027803,2.04945617243727,-0.544828198320424,-14.3078885060225,-2.40579970170112,-7.51562749223644,0.555549043563745,-3.39960597046984,-0.234282582942156,0,27.25245449,0.21597302,-0.33278063,27.341
-0.2604091465,-0.1246435493,1.831170082,-3.453745365,0,-0,1.646224995,-0.081899997,-0.547225008,-0.06912500083,0.0442749995,0.08400000334,-1.028999968,-12.23040025,-2.185400048,23.27298546,0,0.9375,0,0,27.346,0.9805299168,-3.141450671,-0.2596421093,-0.1012489144,2.459995499,-1.794178804,1,0,0,0,0,0,0,0.32907,-0.20057,-8.44625162641394,4.07016535726373,-3.37001534918124,-0.129698672468544,1.92401185336741,-0.344851405427517,-14.5408758951429,-2.04791456208821,-6.7351580583495,0.554824992888616,-3.39694617555804,-0.189927982368043,0,27.25733912,0.213592840000001,-0.347392929999995,27.346
-0.2531222701,-0.1422854066,1.742587805,-3.470317602,0,-0,1.647100048,-0.08119999766,-0.547400012,-0.06807500184,0.0005249999883,0.1022000027,-1.009400001,-11.05440021,-2.146199968,23.27298546,0,0.9375,0,0,27.351,1.075534469,-3.212752705,-0.2523552329,-0.1188907716,2.459995499,-1.794178804,1,0,0,0,0,0,0,0.32907,-0.20057,-9.65653247823518,2.53224623948625,-2.98830012761021,-0.0779466509092848,1.79856753429755,-0.14487461253461,-14.7738632842633,-1.6900294224753,-5.95468862446256,0.554100942213487,-3.39428638064624,-0.145573381793931,0,27.26222375,0.211212660000002,-0.36200522999999,27.351
-0.2443013489,-0.1587767005,1.747069597,-3.435594797,0,-0,1.647100048,-0.08119999766,-0.547400012,-0.06807500184,0.0005249999883,0.1022000027,-1.009400001,-11.05440021,-2.146199968,23.27298546,0,0.9375,0,0,27.356,1.164586399,-3.270609088,-0.2435343117,-0.1353820655,2.406848416,-1.69131181,1,0,0,0,0,0,0,0.29829,-0.19772,-9.77564780876509,1.4866164279286,-3.79617909306547,-0.0487218849527275,1.90136355188697,-0.124859497331669,-13.8734110047254,-1.75295531170029,-5.80843766346368,0.523929148710287,-3.3338639611557,-0.132454564149151,0,27.267397745,0.20589229,-0.345535695,27.356
-0.2381650507,-0.1729668975,1.609283447,-3.283344269,0,-0,1.648325043,-0.08049999833,-0.5482749987,-0.08715000033,-0.1020249987,0.1321250033,-1.489599952,-9.819599748,-1.832600063,23.27298546,0,0.9375,0,0,27.361,1.244256556,-3.314376788,-0.2373980135,-0.1495722625,2.406848416,-1.69131181,1,0,0,0,0,0,0,0.29829,-0.19772,-9.89476313929415,0.440986616372038,-4.604058058521,-0.019497118996207,2.00415956947648,-0.10484438212887,-12.9729587251873,-1.81588120092554,-5.66218670246535,0.493757355207087,-3.27344154166517,-0.119335746504403,0,27.27257174,0.20057192,-0.32906616,27.361
-0.2293441296,-0.1871570796,1.652494431,-3.169652462,0,-0,1.648325043,-0.08049999833,-0.5482749987,-0.08715000033,-0.1020249987,0.1321250033,-1.489599952,-9.819599748,-1.832600063,23.27298546,0,0.9375,0,0,27.366,1.313888037,-3.343651796,-0.2285770923,-0.1637624446,2.316370895,-1.608402986,1,0,0,0,0,0,0,0.18047,-0.16975,-10.5492535198531,-1.24277748926703,-3.30392175788656,-0.0214972345835866,1.9859308997073,-0.0987213073680545,-12.3752106764423,-1.310677888063,-5.521030030013,0.466684441466364,-3.22884432406589,-0.0897433527978479,0,27.27748697,0.199144955000001,-0.313679605000005,27.366
-0.2224407941,-0.2013472617,1.580881119,-3.092588663,0,-0,1.649375,-0.07962500334,-0.5503750134,-0.119174999,-0.1798999953,0.117075001,-0.8525999755,-9.36879971,-1.391600046,23.27298546,203.1780295,0.9375,0,0,27.371,1.372708546,-3.358892036,-0.2216737569,-0.1779526267,2.316370895,-1.608402986,1,0,0,0,0,0,0,0.18047,-0.16975,-11.203743900412,-2.92654159490609,-2.00378545725213,-0.0234973501709663,1.96770222993813,-0.0925982326072388,-11.7774626276972,-0.805474575200462,-5.37987335756065,0.439611527725641,-3.18424710646661,-0.0601509590912925,0,27.2824022,0.197717990000001,-0.298293050000011,27.371
-0.2155374587,-0.2159209698,1.518272519,-3.052043438,0,-0,1.649375,-0.07962500334,-0.5503750134,-0.119174999,-0.1798999953,0.117075001,-0.8525999755,-9.36879971,-1.391600046,23.27298546,0,0.9375,0,0,27.376,1.420276963,-3.361559864,-0.2147704214,-0.1925263349,2.055995769,-1.499846387,1,0,0,0,0,0,0,0.18047,-0.16975,-10.8065314275176,-2.65209646297173,-2.9741521605479,0.022242954557445,1.8367759401583,-0.130577926647133,-11.4113699829638,-0.458763431048197,-5.29905645246701,0.409031737375457,-3.12386641364879,-0.0417387589709153,0,27.287489785,0.183733295,-0.239379405,27.376
-0.2059494853,-0.2285770923,1.628280044,-2.923805237,0,-0,1.650424957,-0.07840000033,-0.5531750107,-0.16625,-0.2854249907,0.1225,-1.460200039,-8.947399879,-1.117200001,23.27298546,0,0.9375,0,0,27.381,1.458873621,-3.352323165,-0.2051824481,-0.2051824573,2.055995769,-1.499846387,1,0,0,0,0,0,0,0.21052,-0.14884,-10.4093189546228,-2.37765133103617,-3.9445188638446,0.0679832592858576,1.70584965037849,-0.168557620687031,-11.0452773382308,-0.112052286896291,-5.21823954737347,0.378451947025291,-3.06348572083101,-0.0233265588505591,0,27.29257737,0.1697486,-0.18046576,27.381
-0.1982791126,-0.2427672744,1.604280829,-2.908560991,0,-0,1.650424957,-0.07840000033,-0.5531750107,-0.16625,-0.2854249907,0.1225,-1.460200039,-8.947399879,-1.117200001,23.27298546,0,0.9375,0,0,27.386,1.489941119,-3.333109842,-0.1975120754,-0.2193726394,1.90671415,-1.383249958,1,0,0,0,0,0,0,0.21052,-0.14884,-10.0449889072255,-2.17826096608135,-3.37568909876458,0.0617334963998329,1.75771169570863,-0.204626515166055,-10.6479664359409,0.358758047624765,-5.07201704629195,0.327104468966366,-3.03088106607756,-0.0060222025888677,0,27.2959740566667,0.162780680000002,-0.190482736666664,27.386
-0.1886911541,-0.2561904192,1.683225393,-2.869122505,0,-0,1.651475048,-0.076474998,-0.5564999866,-0.2248750067,-0.3270750093,0.1063999987,-1.479799932,-9.15320015,-0.2450000037,23.27298546,0,0.9375,0,0,27.391,1.51585428,-3.305930888,-0.1879241169,-0.2327957842,1.90671415,-1.383249958,1,0,0,0,0,0,0,0.15448,-0.12944,-9.68065885982821,-1.97887060112653,-2.80685933368457,0.0554837335138082,1.80957374103876,-0.240695409645079,-10.250655533651,0.82956838214582,-4.92579454521042,0.275756990907441,-2.99827641132412,0.0112821536728237,0,27.2993707433333,0.155812760000003,-0.200499713333329,27.391
-0.1798702329,-0.2688465416,1.708426237,-2.777694225,0,-0,1.651475048,-0.076474998,-0.5564999866,-0.2248750067,-0.3270750093,0.1063999987,-1.479799932,-9.15320015,-0.2450000037,23.27298546,0,0.9375,0,0,27.396,1.538392599,-3.271942635,-0.1791031957,-0.2454519067,1.702021367,-1.262990319,1,0,0,0,0,0,0,0.13891,-0.1323,-9.31632881243064,-1.77948023617157,-2.23802956860415,0.0492339706277791,1.86143578636894,-0.276764304124129,-9.85334463136076,1.30037871666721,-4.7795720441288,0.224409512848479,-2.96567175657065,0.0285865099345274,0,27.30276743,0.14884484,-0.21051669,27.396
-0.1702822596,-0.2830367386,1.770574331,-2.793613434,0,-0,1.652700043,-0.07367500067,-0.560350008,-0.257949996,-0.3687249947,0.1076250017,-1.107399981,-8.379000187,-0.3822000079,23.27298546,201.9844977,0.9375,0,0,27.401,1.559367667,-3.233317763,-0.1695152224,-0.2596421037,1.702021367,-1.262990319,1,0,0,0,0,0,0,0.13891,-0.1323,-8.76947688645957,-0.670876266471528,-3.99445606311274,0.0599145953946063,1.75850345602868,-0.330775295723207,-10.1493080092767,1.05100131839364,-5.03838273790127,0.161300256635029,-2.92108049127387,0.0435722481805917,0,27.307818705,0.139141160000003,-0.18249774000001,27.401
-0.1618448496,-0.2964598835,1.747265816,-2.771085024,0,-0,1.652700043,-0.07367500067,-0.560350008,-0.257949996,-0.3687249947,0.1076250017,-1.107399981,-8.379000187,-0.3822000079,23.27298546,0,0.9375,0,0,27.406,1.579198002,-3.191901724,-0.1610778124,-0.2730652485,1.520951449,-1.176128801,1,0,0,0,0,0,0,0.13891,-0.1323,-8.22262496048849,0.43772770322851,-5.75088255762134,0.0705952201614336,1.65557112568843,-0.384786287322285,-10.4452713871927,0.801623920120061,-5.29719343167375,0.0981910004215783,-2.8764892259771,0.0585579864266559,0,27.31286998,0.129437480000007,-0.15447879000002,27.406
-0.1526404023,-0.3091160059,1.764200211,-2.713070154,0,-0,1.65375,-0.07017500401,-0.5645499706,-0.3027499866,-0.4007499933,0.1107749987,-0.8623999953,-8.320199776,-0.2450000037,23.27298546,0,0.93828125,0,0,27.411,1.598193424,-3.148683145,-0.1518733651,-0.285721371,1.520951449,-1.176128801,1,0,0,0,0,0,0,0.09125,-0.12952,-7.31958335871542,0.359771870558365,-3.8889336463934,-0.129845918740308,1.89603181562992,-0.422440721206208,-11.2871821479579,0.894344879562868,-3.97031832403604,0.00440576315971789,-2.84198902394103,0.104181488146579,0,27.31792918,0.13087121,-0.14669416,27.411
-0.1419018805,-0.3210050762,1.868867159,-2.616241455,0,-0,1.65375,-0.07017500401,-0.5645499706,-0.3027499866,-0.4007499933,0.1107749987,-0.8623999953,-8.320199776,-0.2450000037,23.27298546,0,0.93828125,0,0,27.416,1.617781193,-3.103625003,-0.1411348433,-0.2976104412,1.305692025,-1.105513018,1,0,0,0,0,0,0,0.09125,-0.12952,-6.41654175694274,0.281816037887432,-2.0269847351642,-0.330287057642058,2.13649250557149,-0.460095155090092,-12.1290929087229,0.987065839005852,-2.64344321639814,-0.0893794741020977,-2.80748882190499,0.149804989866491,0,27.32298838,0.13230494,-0.13890953,27.416
-0.132313922,-0.3340446949,1.889170647,-2.612792015,0,-0,1.654974995,-0.0661499995,-0.5692749786,-0.3272500134,-0.42,0.1086750007,-0.8623999953,-7.967400229,-0.2548000053,23.27298546,0,0.93828125,0,0,27.421,1.638514586,-3.057544554,-0.1315468848,-0.31065006,1.305692025,-1.105513018,1,0,0,0,0,0,0,0.07744,-0.13541,-5.40736579527927,1.57056748267014,-2.73993575740704,-0.426904025599107,1.89638240121772,-0.490260534933032,-9.26657614040958,1.47715966416691,-4.20176190377726,-0.301340163061209,-2.66813395085096,0.187981293788813,0,27.33250347,0.12952134,-0.09125088,27.421
-0.1231094748,-0.3467008173,1.871585608,-2.596857548,0,-0,1.655850048,-0.06212499917,-0.5736499786,-0.345449996,-0.436974988,0.1086750007,-0.6761999831,-8.104600215,-0.3332000181,23.27298546,0,0.93828125,0,0,27.429,1.659948776,-3.011361073,-0.1223424376,-0.3233061824,1.119442536,-1.061353168,1,0,0,0,0,0,0,0.04012,-0.13783,-6.55612055072566,1.14750474943758,-2.84372949008528,-0.447589219743055,1.91982993321991,-0.456707126007972,-9.2827305050751,1.65549385831072,-4.11633204433919,-0.38263159718031,-2.64150829887909,0.225295218956965,0,27.3380786433333,0.132663158666666,-0.0838864746666678,27.429
-0.1070016921,-0.3616580367,1.934208632,-2.425509453,0,-0,1.655850048,-0.06212499917,-0.5736499786,-0.345449996,-0.436974988,0.1086750007,-0.6761999831,-8.104600215,-0.3332000181,23.27298546,465.4951705,0.93828125,0,0,27.431,1.682349478,-2.963784488,-0.1062346548,-0.3382634018,1.119442536,-1.061353168,1,0,0,0,0,0,0,0.04012,-0.13783,-6.84330923958764,1.04173906612929,-2.86967792325488,-0.452760518279049,1.92569181622047,-0.448318773776696,-9.28676909624148,1.70007740684673,-4.09497457947965,-0.402954455710112,-2.63485188588611,0.234623700249016,0,27.3394724366667,0.133448613333334,-0.0820453733333322,27.431
-0.1035500243,-0.368177861,1.910969853,-2.369125128,0,-0,1.655850048,-0.06212499917,-0.5736499786,-0.345449996,-0.436974988,0.1086750007,-0.6761999831,-8.104600215,-0.3332000181,23.27298546,0,0.93828125,0,0,27.437,1.705070962,-2.914326825,-0.1027829871,-0.344783226,0.9170503472,-1.031683975,1,0,0,0,0,0,0,0.03777,-0.14932,-7.53494949526471,0.74879040641883,-2.79734261686606,-0.476094382480801,1.95216978717615,-0.424097624416132,-9.08025228925551,1.71058096372346,-4.11652458987064,-0.460627937729772,-2.61166007329492,0.263731895237768,0,27.343923967,0.135654277,-0.073709962999996,27.437
